"","descripteur1","descripteur2","descripteur4","descripteur5","descripteur6","descripteur7","descripteur9","descripteur11","descripteur12","descripteur14","descripteur15","descripteur16","descripteur17","descripteur18","descripteur20","descripteur21","descripteur23","descripteur25","descripteur26","descripteur27","descripteur28","descripteur29","descripteur32","descripteur33","descripteur34","descripteur35","descripteur36","descripteur37","descripteur38","descripteur39","descripteur40","descripteur41","descripteur42","descripteur43","descripteur47","descripteur48","descripteur51","descripteur53","descripteur55","descripteur56","descripteur57","descripteur58","descripteur60","descripteur62","descripteur63","descripteur67","descripteur68","descripteur71","descripteur72","descripteur74"
"molecule76","-22.692204","142.074055","-2.63762083","-0.20115225","-0.06062382","0.14052843","-0.02103084","526.79897959","942.11174128","2","0.1299","-0.6245000000000001","29.367399","1.281595","36","5.280056","1.309285","3.787694","2.30453","2.608444","1.882057","1.085328","86.43856","362.694489","146.258469","26.39036","1.403935","106.55909808","1.05229868","550.9197708200001","2.28705007","123.83737585","38.06042106","20.78444836","0.63804714","8.793373470000001","1.68109437","110.17871816","112.688732","-160.899128","531.892489","32.436871","0.11369","56.776085","105.847656","-9.570209","0.265676","12.29515","119.540099","0.5810149999999999"
"molecule79","-85.934591","183.98205","-3.21813836","-0.24227182","-0.08116769","0.16110413","-0.01960169","675.21913252","1284.133","3","1.462801","1.2019","41.162815","2.261034","52","8.228717","1.783944","5.165832","3.621574","4.431304","3.64683","2.539644","147.206711","800.3452150000001","308.930634","32.304253","0","143.27075808","1.2019061","1231.583","2.98840543","223.28063877","50.53056465","23.83928349","0.64060357","10.65963816","1.98932222","148.49196266","51.058017","-218.841876","513.975317","26.882359","0.078169","67.913556","101.49681","-11.143806","0.202476","4.076343","88.213886","0.743491"
"molecule88","-99.106354","233.746601","-4.4814858","-0.18334891","-0.09327924","0.09006968","-0.04078378","833.51416278","1693.736","4","1.0199","1.0826","59.525208","2.341055","86","10.873562","1.767953","7.409703","5.702689","5.827078","4.718113","3.197945","296.422852","2293.722","683.037048","46.347797","0","189.91262945","1.25976349","2322.122","3.16686701","314.89057771","68.21973242999999","33.24469096","0.60767729","10.49993725","1.85901091","197.41553434","13.769821","-528.437834","1094.224","45.429822","0.112609","84.155517","228.255009","-24.364117","0.141393","6.797031","251.933135","0.375522"
"molecule90","-86.64966","180.526774","-3.0589789","-0.19434802","-0.07018645","0.12416157","-0.03670429","661.44700066","1250.956","3","0.3021","0.4162","41.380905","1.839244","54","8.030704999999999","1.92397","4.999019","3.240601","4.270137","3.465639","2.045843","160","798.846985","315.299988","35.142502","0","138.57370461","1.24977534","1399.908","2.77101963","218.39826985","48.92787017","23.7815668","0.61428571","9.83229429","1.8107099","143.88234277","-9.662901","-330.267491","642.042243","34.423248","0.102515","54.754156","104.689946","-15.392984","0.179916","4.416103","205.964143","0.386623"
"molecule93","31.93123","137.500867","-1.42695377","-0.21213317","-0.11190483","0.10022834","-0.11661123","500.86161052","870.46348223","4","0.5451","-1.9378","14.686599","0.901068","20","4.869999","0","2","0","2.207107","1.478398","0","43.01955","57.359402","37.467213","12.896597","0","94.56948645999999","1.20672116","460.80496156","2.11490472","108.39392051","31.1495095","23.41110103","0.66358284","8.061641059999999","1.42816801","100.49510096","-106.147569","-169.683893","216.312872","16.581738","0.07041799999999999","15.226675","10.979955","-8.242877999999999","0.364305","5.006035","130.685988","0.445011"
"molecule100","-138.703672","236.978825","-4.40126961","-0.19521419","0.03469437","0.22990856","-0.0196731","811.1160697399999","1519.84","3","0.612501","0.708902","44.221523","9.772218000000001","38","10.88","9.880000000000001","5.414213","2.207107","4.178035","2.301905","1.249862","75.05864699999999","622.780518","394.579926","37.067913","4.826244","173.34950246","0.93584922","2514.265","3.74553617","482.11900788","56.87788461","25.13172183","0.73268921","13.71033104","2.54688258","182.40196993","287.512346","-182.711652","1171.995","52.102791","0.124712","147.330421","413.30603","-15.736213","0.114783","6.848309","86.497648","0.792961"
"molecule104","1.061149","369.50596","-8.07225354","-0.12256881","0.02543179","0.14800061","-0.06334753","1186.898","2617.39","0","4.511601","4.280099","78.279625","11.047404","68","16.959997","7.806973","8.24264","4.24264","8.093339","5.650281","3.944036","186.117294","1977.377","886.603088","53.462482","16.769913","308.80981023","0.8402517900000001","3314.216","3.66193505","792.30817619","75.94038852","67.31635446999999","0.54964208","12.42328607","1.22472168","328.58502767","488.80833","-173.347465","2815.778","75.472054","0.134006","296.244255","1488.213","-8.292393000000001","0.039454","0.703346","36.95351","0.934386"
"molecule109","-306.739354","413.12676","-8.22582749","-0.20935733","-0.01131544","0.19804189","-0.03648482","1338.628","2824.909","7","1.018702","0.967402","81.075699","9.610647","104","20.274982","6.700307","11.006438","7.356438","8.139116","5.689857","3.829174","339.762909","4592.438","2005.909","77.286575","5.726159","321.72624315","1.04249187","10517.57","5.37008898","1465.762","91.98565701","40.68873744","0.58141321","18.54559536","2.47259856","342.93924617","376.875869","-890.441075","4375.157","94.480919","0.148653","321.747008","2214.81","-44.881501","0.107384","0.752104","204.740854","0.677867"
"molecule112","-40.769494","97.885169","-1.56777276","-0.19072851","0.0362432","0.22697171","-0.01890975","365.98469742","579.35925057","2","-1.0559","-1.187","16.2111","2.861601","10","3.92","4.006956","1.914214","0.5","1.224476","0.512282","0.129099","8","22.5","30.490225","16.402264","0.472222","65.81864155","0.92806533","152.43293253","1.73270517","57.44113048","22.22734106","16.54437686","0.66891134","6.49675892","1.33959965","69.26325327000001","126.851583","-62.042776","294.569463","32.369511","0.147691","37.918852","50.962938","-5.965517","0.249033","14.502285","120.269689","0.45125"
"molecule114","-146.054996","206.425886","-3.78898193","-0.23433745","-0.05838865","0.17594881","-0.01490037","712.22418762","1327.217","3","1.0531","1.161999","37.481503","5.1601","38","9.59","5.144968","4.680739","2.40109","3.528255","2.197024","1.083323","86.43856","481.250854","286.371643","32.329758","2.269626","150.5852845","0.97078541","1620.786","3.31830163","424.16262767","47.76817984","23.88938328","0.6922619","11.94224059","2.20440333","158.84062994","208.328413","-266.672543","1201.725","50.824574","0.135689","109.166966","350.240376","-17.522377","0.198142","6.336261","104.87654","0.720006"
"molecule122","-121.400824","151.992048","-2.48919382","-0.21152079","-0.00679948","0.20472131","-0.03631931","544.95086795","946.98588405","3","-0.9621","-1.7445","25.139601","3.910957","28","7.19","4.19","3.808061","1.562949","2.043686","0.998905","0.479228","53.302967","255.093582","167.155228","28.490225","-0.849537","106.68320381","1.12583794","802.32812539","2.62110659","182.91342497","38.35084444","19.91439845","0.65464744","9.45925027","1.81941036","112.02777652","108.933879","-244.907373","774.743731","45.494662","0.153602","59.995505","156.930243","-15.609905","0.250832","8.303397","192.178679","0.351156"
